Date,IStep,WStep ,,,,,
4/23/23 21:00,795.04,817.22,,,,, 
4/23/23 22:00,378.96,590,,,,, 
4/23/23 23:00,155,382,,,,, 
4/24/23 0:00,199.69,246.69,,,,, 
4/24/23 1:00,314,371.31,,,,, 
4/24/23 2:00,67,67,,,,, 
4/24/23 13:00,8,8,,,,, 
4/24/23 14:00,810,917,,,,, 
4/24/23 15:00,1458,1536,,,,, 
4/24/23 16:00,134,158,,,,, 
4/24/23 17:00,1208,1272,,,,, 
4/24/23 18:00,191.14,278,,,,, 
4/24/23 19:00,1411,1453,,,,, 
4/24/23 20:00,315.81,839.55,,,,, 
4/24/23 21:00,1274,1743,,,,, 
4/24/23 22:00,243,249,,,,, 
4/24/23 23:00,57,57,,,,, 
4/25/23 0:00,42,42,,,,, 
4/25/23 1:00,29,29,,,,, 
4/25/23 2:00,35,35,,,,, 
4/25/23 3:00,19,19,,,,, 
4/25/23 5:00,14,14,,,,, 
4/25/23 6:00,135.26,135.26,,,,, 
4/25/23 7:00,1308,1609,,,,, 
4/25/23 8:00,1738,1831,,,,, 
4/25/23 9:00,2611,2759,,,,, 
4/25/23 10:00,3274,3179,,,,, 
4/25/23 11:00,3122,3132,,,,, 
4/25/23 12:00,3542,3853,,,,, 
4/25/23 13:00,6515,6393,,,,, 
4/25/23 14:00,1344,1581,,,,, 
4/25/23 15:00,143.37,104.17,,,,, 
4/25/23 16:00,1311,1446,,,,, 
4/25/23 17:00,1206,1177,,,,, 
4/25/23 18:00,1213,1300,,,,, 
4/25/23 19:00,378,363.13,,,,, 
4/25/23 20:00,59,59,,,,, 
4/25/23 21:00,222,298,,,,, 
4/25/23 22:00,946.07,1084,,,,, 
4/25/23 23:00,124,326,,,,, 
4/26/23 0:00,26,26,,,,, 
4/26/23 1:00,1,1,,,,, 
4/26/23 2:00,16,16,,,,, 
4/26/23 4:00,1,1,,,,, 
4/26/23 6:00,13,13,,,,, 
4/26/23 8:00,332,584,,,,, 
4/26/23 9:00,476,501,,,,, 
4/26/23 10:00,59,303,,,,, 
4/26/23 11:00,1361,1305,,,,, 
4/26/23 12:00,1338,1325,,,,, 
4/26/23 13:00,292,306,,,,, 
4/26/23 14:00,428,415,,,,, 
4/26/23 16:00,13,13,,,,, 
4/26/23 17:00,2548,2539,,,,, 
4/26/23 18:00,248,251,,,,, 
4/26/23 19:00,14,14,,,,, 
4/26/23 20:00,372.37,467,,,,, 
4/26/23 21:00,350.63,457,,,,, 
4/26/23 22:00,544,986,,,,, 
4/26/23 23:00,295,556,,,,, 
4/27/23 0:00,149.05,84,,,,, 
4/27/23 1:00,9.95,43,,,,, 
4/27/23 3:00,20,20,,,,, 
4/27/23 4:00,18,18,,,,, 
4/27/23 5:00,18,18,,,,, 
4/27/23 6:00,2,2,,,,, 
4/27/23 7:00,11,11,,,,, 
4/27/23 8:00,16,16,,,,, 
4/27/23 9:00,28,223,,,,, 
4/27/23 10:00,94,90,,,,, 
4/27/23 11:00,219,219,,,,, 
4/27/23 12:00,20,6,,,,, 
4/27/23 13:00,223,463,,,,, 
4/27/23 14:00,262.85,412,,,,, 
4/27/23 15:00,2683,3019,,,,, 
4/27/23 16:00,869.35,945.99,,,,, 
4/27/23 17:00,2230,2200,,,,, 
4/27/23 18:00,700.76,735.49,,,,, 
4/27/23 19:00,66,66,,,,, 
4/27/23 20:00,341.58,317,,,,, 
4/27/23 21:00,531,616,,,,, 
4/27/23 22:00,213.6,458,,,,, 
4/27/23 23:00,765,701,,,,, 
4/28/23 0:00,40,71,,,,, 
4/28/23 1:00,66,70,,,,, 
4/28/23 2:00,52,52,,,,, 
4/28/23 3:00,14,14,,,,, 
4/28/23 4:00,8,8,,,,, 
4/28/23 5:00,73,73,,,,, 
4/28/23 6:00,25,25,,,,, 
4/28/23 7:00,18,18,,,,, 
