Date,Iwatch(step),Iphone(step),Difference,Percentage Difference ,Consistency,,
4/26/23 0:00,10079,8728,1351,13.40410755,Mostly consistent,, 
4/27/23 0:00,10684,9491,1193,11.16622988,Mostly consistent,, 
4/28/23 0:00,11401,10118,1283,11.25339882,Mostly consistent,, 
4/29/23 0:00,19221,18795,426,2.216325894,Very consistent,, 
4/30/23 0:00,6769,7085,-316,-4.668340966,Very consistent,, 
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,0,,,,
,,,0,,,,
,,,0,,,,
,,,0,,,,
,,,0,,,,
,,,0,,,,
,,,0,,,,
,,,0,,,,
,,,0,,,,
,,,0,,,,
,,,0,,,,
,,,0,,,,
